Date,Store_ID,Staff_ID,Shift_Type,Hours_Worked,Staff_Role,Daily_Sales_Target,Staff_Attendance
2022-01-03,S005,E0262,Afternoon,5,Customer Service,2655.82,Present
2022-01-03,S005,E0002,Morning,4,Cashier,2364.49,Sick leave
2022-01-03,S005,E0272,Morning,4,Cashier,1608.02,Present
2022-01-03,S005,E0106,Afternoon,8,Cashier,4921.19,Present
2022-01-03,S005,E0148,Morning,4,Customer Service,2312.17,Present
2022-01-03,S007,E0062,Afternoon,4,Stock Clerk,3608.18,Present
2022-01-03,S007,E0112,Morning,9,Customer Service,1943.51,Present
2022-01-03,S007,E0254,Morning,6,Cashier,553.35,Present
2022-01-03,S007,E0291,Afternoon,4,Customer Service,4814.06,Present
2022-01-03,S007,E0072,Morning,4,Customer Service,1465.75,Absent
2022-01-03,S001,E0082,Night,5,Cashier,2965.88,Absent
2022-01-03,S001,E0145,Night,9,Stock Clerk,553.78,Present
2022-01-03,S001,E0009,Afternoon,6,Customer Service,1491.85,Present
2022-01-03,S001,E0037,Morning,9,Customer Service,4128.51,Present
2022-01-03,S001,E0029,Night,9,Cashier,3980.84,Present
2022-01-04,S002,E0187,Morning,9,Manager,548.99,Present
2022-01-04,S002,E0159,Night,8,Stock Clerk,588.29,Sick leave
2022-01-04,S002,E0147,Afternoon,9,Customer Service,1742.62,Present
2022-01-04,S002,E0227,Afternoon,5,Cashier,2097.55,Present
2022-01-04,S002,E0282,Morning,5,Customer Service,3937.84,Present
2022-01-04,S003,E0084,Night,7,Cashier,524.59,Absent
2022-01-04,S003,E0155,Afternoon,6,Cashier,4085.72,Present
2022-01-04,S003,E0111,Night,9,Customer Service,3754.26,Present
2022-01-04,S003,E0123,Morning,9,Cashier,1031.52,Present
2022-01-04,S003,E0247,Morning,7,Customer Service,3270.75,Present
2022-01-04,S008,E0079,Night,9,Stock Clerk,3358.89,Present
2022-01-04,S008,E0069,Morning,7,Customer Service,2490.98,Present
2022-01-04,S008,E0121,Night,9,Manager,4209.43,Present
2022-01-04,S008,E0090,Night,7,Customer Service,1828.34,Absent
2022-01-04,S008,E0197,Afternoon,8,Customer Service,3559.63,Present
2022-01-04,S006,E0151,Morning,7,Customer Service,4863.02,Sick leave
2022-01-04,S006,E0069,Afternoon,9,Manager,693.26,Present
2022-01-04,S006,E0152,Night,9,Manager,3201.08,Present
2022-01-04,S006,E0294,Night,7,Cashier,672.09,Present
2022-01-04,S006,E0063,Morning,8,Stock Clerk,4806.25,Present
2022-01-04,S001,E0043,Morning,5,Customer Service,3517.39,Absent
2022-01-04,S001,E0058,Afternoon,9,Customer Service,4926.27,Present
2022-01-04,S001,E0277,Afternoon,8,Customer Service,3458.35,Present
2022-01-04,S001,E0072,Night,6,Stock Clerk,2194.5,Present
2022-01-04,S001,E0064,Night,5,Cashier,3371.8,Present
2022-01-05,S005,E0197,Night,5,Customer Service,2720.3,Present
2022-01-05,S005,E0173,Afternoon,9,Stock Clerk,4703.74,Present
2022-01-05,S005,E0199,Night,9,Stock Clerk,2387.22,Sick leave
2022-01-05,S005,E0176,Night,7,Customer Service,3588.73,Absent
2022-01-05,S005,E0212,Night,9,Customer Service,2556.74,Present
2022-01-05,S003,E0022,Afternoon,5,Customer Service,1615.18,Present
2022-01-05,S003,E0244,Morning,8,Customer Service,1547.37,Present
2022-01-05,S003,E0073,Morning,8,Cashier,2900.38,Present
2022-01-05,S003,E0009,Afternoon,6,Stock Clerk,3981.71,Sick leave
2022-01-05,S003,E0099,Afternoon,9,Stock Clerk,1430.17,Present
2022-01-05,S007,E0208,Night,4,Customer Service,1946.59,Present
2022-01-05,S007,E0154,Night,6,Manager,1156.4,Present
2022-01-05,S007,E0167,Afternoon,6,Stock Clerk,3846.81,Present
2022-01-05,S007,E0198,Afternoon,7,Manager,660.07,Present
2022-01-05,S007,E0190,Night,9,Cashier,4602.57,Present
2022-01-05,S010,E0040,Night,6,Stock Clerk,1911.43,Present
2022-01-05,S010,E0117,Afternoon,6,Cashier,1577.07,Absent
2022-01-05,S010,E0020,Morning,5,Stock Clerk,2304.73,Present
2022-01-05,S010,E0239,Afternoon,6,Manager,4747.55,Present
2022-01-05,S010,E0103,Night,6,Stock Clerk,3884.27,Present
2022-01-05,S008,E0233,Night,8,Customer Service,1222.5,Present
2022-01-05,S008,E0082,Morning,6,Manager,2151.79,Present
2022-01-05,S008,E0243,Night,7,Customer Service,4309.89,Present
2022-01-05,S008,E0074,Night,9,Cashier,1869.06,Present
2022-01-05,S008,E0083,Morning,9,Cashier,1427.83,Present
2022-01-06,S006,E0245,Afternoon,9,Customer Service,1977.2,Present
2022-01-06,S006,E0020,Morning,9,Manager,2630.44,Present
2022-01-06,S006,E0193,Afternoon,6,Stock Clerk,2838.48,Present
2022-01-06,S006,E0256,Morning,9,Stock Clerk,4564.55,Present
2022-01-06,S006,E0236,Afternoon,8,Stock Clerk,1747.92,Sick leave
2022-01-06,S002,E0157,Morning,5,Customer Service,2535.55,Present
2022-01-06,S002,E0128,Afternoon,6,Customer Service,618.51,Present
2022-01-06,S002,E0274,Afternoon,5,Customer Service,3527.7,Present
2022-01-06,S002,E0293,Morning,4,Cashier,3863.19,Sick leave
2022-01-06,S002,E0027,Night,5,Customer Service,3259.56,Present
2022-01-06,S010,E0230,Afternoon,7,Manager,2828.96,Present
2022-01-06,S010,E0008,Night,9,Cashier,2617.61,Absent
2022-01-06,S010,E0075,Afternoon,7,Customer Service,2930.2,Absent
2022-01-06,S010,E0298,Afternoon,8,Cashier,4989.44,Present
2022-01-06,S010,E0280,Morning,8,Customer Service,2122.89,Present
2022-01-06,S007,E0236,Night,6,Manager,1860.47,Present
2022-01-06,S007,E0256,Afternoon,8,Customer Service,1126.56,Present
2022-01-06,S007,E0154,Morning,9,Stock Clerk,3006.79,Sick leave
2022-01-06,S007,E0208,Morning,9,Cashier,2619.91,Present
2022-01-06,S007,E0168,Night,6,Customer Service,1926.94,Present
2022-01-06,S005,E0188,Afternoon,7,Cashier,611.8,Absent
2022-01-06,S005,E0226,Afternoon,7,Stock Clerk,1859.36,Present
2022-01-06,S005,E0183,Morning,5,Stock Clerk,1423.65,Present
2022-01-06,S005,E0013,Night,4,Cashier,2027.21,Present
2022-01-06,S005,E0029,Night,5,Stock Clerk,3675.35,Present
2022-01-07,S008,E0260,Night,6,Customer Service,593.45,Present
2022-01-07,S008,E0096,Afternoon,5,Customer Service,4445.33,Present
2022-01-07,S008,E0214,Night,4,Cashier,4276.87,Present
2022-01-07,S008,E0292,Night,7,Cashier,3089.87,Present
2022-01-07,S008,E0010,Afternoon,4,Cashier,943.55,Present
2022-01-07,S003,E0225,Afternoon,4,Customer Service,714.82,Present
2022-01-07,S003,E0077,Afternoon,6,Stock Clerk,3323.1,Present
2022-01-07,S003,E0125,Night,5,Cashier,638.88,Present
2022-01-07,S003,E0281,Night,6,Manager,996.88,Sick leave
2022-01-07,S003,E0242,Morning,6,Cashier,2167.95,Present
2022-01-07,S005,E0030,Afternoon,6,Stock Clerk,996.88,Sick leave
2022-01-07,S005,E0008,Night,8,Customer Service,826.56,Present
2022-01-07,S005,E0125,Afternoon,4,Manager,4345.83,Sick leave
2022-01-07,S005,E0015,Morning,7,Stock Clerk,2434.1,Present
2022-01-07,S005,E0041,Night,5,Stock Clerk,1956.41,Present
2022-01-07,S007,E0207,Afternoon,6,Stock Clerk,2045.65,Present
2022-01-07,S007,E0248,Morning,4,Stock Clerk,1349.52,Present
2022-01-07,S007,E0222,Afternoon,4,Manager,1755.71,Present
2022-01-07,S007,E0066,Morning,4,Stock Clerk,2268.15,Present
2022-01-07,S007,E0286,Morning,8,Stock Clerk,4171.38,Present
2022-01-07,S001,E0207,Night,8,Cashier,569.4,Present
2022-01-07,S001,E0087,Afternoon,8,Cashier,3727.33,Present
2022-01-07,S001,E0255,Night,6,Stock Clerk,4634.68,Absent
2022-01-07,S001,E0045,Night,7,Manager,697.03,Present
2022-01-07,S001,E0208,Afternoon,8,Cashier,2663.04,Present
2022-01-08,S005,E0065,Afternoon,5,Manager,631.66,Present
2022-01-08,S005,E0037,Afternoon,5,Manager,544.12,Present
2022-01-08,S005,E0073,Night,5,Stock Clerk,4364.42,Absent
2022-01-08,S005,E0006,Night,6,Cashier,2169.17,Present
2022-01-08,S005,E0186,Afternoon,4,Customer Service,2375.8,Present
2022-01-08,S008,E0168,Afternoon,9,Cashier,4394.27,Present
2022-01-08,S008,E0220,Night,9,Customer Service,3411.33,Sick leave
2022-01-08,S008,E0011,Morning,7,Customer Service,4187.32,Present
2022-01-08,S008,E0032,Afternoon,4,Cashier,589.87,Present
2022-01-08,S008,E0035,Night,6,Cashier,3704.63,Present
2022-01-08,S010,E0074,Morning,8,Customer Service,1720.35,Absent
2022-01-08,S010,E0065,Morning,4,Cashier,4514.88,Present
2022-01-08,S010,E0171,Night,6,Cashier,1830.0,Present
2022-01-08,S010,E0255,Afternoon,9,Stock Clerk,4544.03,Absent
2022-01-08,S010,E0045,Morning,5,Customer Service,3698.07,Present
2022-01-08,S007,E0105,Afternoon,7,Stock Clerk,4854.12,Present
2022-01-08,S007,E0241,Afternoon,5,Customer Service,777.28,Present
2022-01-08,S007,E0106,Morning,4,Customer Service,4133.46,Sick leave
2022-01-08,S007,E0225,Night,6,Customer Service,2089.24,Present
2022-01-08,S007,E0251,Afternoon,7,Customer Service,3040.16,Present
2022-01-08,S009,E0099,Afternoon,5,Customer Service,4206.58,Present
2022-01-08,S009,E0020,Morning,8,Cashier,1991.82,Present
2022-01-08,S009,E0255,Night,6,Stock Clerk,2077.54,Sick leave
2022-01-08,S009,E0153,Night,9,Cashier,2922.37,Present
2022-01-08,S009,E0095,Morning,5,Customer Service,990.8,Present
2022-01-09,S008,E0148,Afternoon,6,Stock Clerk,3044.27,Absent
2022-01-09,S008,E0117,Morning,7,Stock Clerk,2135.87,Present
2022-01-09,S008,E0228,Morning,4,Stock Clerk,4695.51,Present
2022-01-09,S008,E0095,Night,5,Cashier,2468.26,Present
2022-01-09,S008,E0141,Night,5,Customer Service,3961.12,Present
2022-01-09,S005,E0078,Night,6,Manager,2531.29,Present
2022-01-09,S005,E0058,Night,7,Customer Service,1580.63,Present
2022-01-09,S005,E0291,Night,8,Manager,3698.1,Present
2022-01-09,S005,E0089,Afternoon,6,Cashier,2159.67,Present
2022-01-09,S005,E0292,Afternoon,6,Customer Service,3090.47,Present
2022-01-09,S009,E0295,Afternoon,4,Customer Service,3780.89,Absent
2022-01-09,S009,E0081,Afternoon,8,Manager,3781.32,Present
2022-01-09,S009,E0011,Morning,7,Customer Service,1050.55,Present
2022-01-09,S009,E0176,Morning,7,Customer Service,4295.36,Present
2022-01-09,S009,E0286,Night,8,Manager,4353.48,Present
2022-01-09,S010,E0202,Afternoon,5,Manager,1770.53,Present
2022-01-09,S010,E0161,Night,6,Customer Service,2868.2,Present
2022-01-09,S010,E0093,Morning,5,Customer Service,3776.09,Present
2022-01-09,S010,E0156,Afternoon,9,Stock Clerk,718.97,Present
2022-01-09,S010,E0200,Night,8,Customer Service,1156.84,Present
2022-01-09,S006,E0206,Afternoon,5,Customer Service,3667.23,Present
2022-01-09,S006,E0109,Afternoon,6,Manager,3469.45,Present
2022-01-09,S006,E0079,Morning,6,Customer Service,1157.36,Present
2022-01-09,S006,E0225,Night,9,Stock Clerk,640.68,Present
2022-01-09,S006,E0003,Afternoon,5,Manager,4053.26,Present
2022-01-10,S007,E0274,Afternoon,4,Customer Service,4085.01,Present
2022-01-10,S007,E0287,Afternoon,9,Stock Clerk,510.76,Sick leave
2022-01-10,S007,E0039,Afternoon,4,Customer Service,1314.6,Present
2022-01-10,S007,E0010,Afternoon,9,Cashier,3508.45,Present
2022-01-10,S007,E0235,Night,7,Cashier,3031.72,Present
2022-01-10,S006,E0022,Afternoon,4,Manager,2817.8,Present
2022-01-10,S006,E0062,Morning,9,Manager,4860.01,Present
2022-01-10,S006,E0115,Afternoon,8,Manager,4747.09,Sick leave
2022-01-10,S006,E0253,Afternoon,6,Cashier,4575.34,Present
2022-01-10,S006,E0152,Afternoon,9,Customer Service,3745.61,Present
2022-01-10,S001,E0252,Morning,6,Stock Clerk,4689.7,Present
2022-01-10,S001,E0163,Night,4,Manager,4367.27,Present
2022-01-10,S001,E0167,Night,6,Customer Service,3466.64,Present
2022-01-10,S001,E0283,Morning,8,Stock Clerk,2402.94,Present
2022-01-10,S001,E0005,Afternoon,9,Customer Service,1111.33,Present
2022-01-10,S005,E0241,Afternoon,7,Cashier,4853.82,Absent
2022-01-10,S005,E0275,Night,7,Manager,3916.01,Present
2022-01-10,S005,E0256,Morning,5,Manager,4793.97,Present
2022-01-10,S005,E0129,Morning,5,Cashier,2797.03,Present
2022-01-10,S005,E0254,Afternoon,6,Cashier,4238.13,Absent
2022-01-10,S010,E0174,Night,5,Stock Clerk,4949.98,Present
2022-01-10,S010,E0257,Afternoon,4,Customer Service,3759.94,Present
2022-01-10,S010,E0024,Afternoon,4,Cashier,3982.57,Present
2022-01-10,S010,E0268,Afternoon,9,Cashier,581.67,Present
2022-01-10,S010,E0111,Afternoon,9,Customer Service,4908.3,Present
2022-01-11,S003,E0258,Night,5,Manager,2749.88,Present
2022-01-11,S003,E0205,Morning,8,Cashier,3055.87,Present
2022-01-11,S003,E0296,Afternoon,4,Stock Clerk,2642.02,Sick leave
2022-01-11,S003,E0164,Afternoon,9,Manager,2964.47,Present
2022-01-11,S003,E0058,Morning,9,Manager,536.89,Present
2022-01-11,S009,E0172,Night,5,Manager,3279.78,Present
2022-01-11,S009,E0259,Afternoon,9,Stock Clerk,2532.93,Present
2022-01-11,S009,E0119,Morning,7,Customer Service,3927.6,Present
2022-01-11,S009,E0194,Morning,8,Customer Service,2045.19,Present
2022-01-11,S009,E0197,Morning,6,Cashier,4256.17,Present
2022-01-11,S007,E0012,Night,4,Customer Service,3974.11,Present
2022-01-11,S007,E0155,Morning,9,Manager,2634.79,Present
2022-01-11,S007,E0091,Night,4,Cashier,2654.43,Present
2022-01-11,S007,E0113,Night,5,Stock Clerk,3249.63,Absent
2022-01-11,S007,E0181,Morning,8,Manager,2307.25,Absent
2022-01-11,S010,E0038,Night,7,Customer Service,3694.5,Present
2022-01-11,S010,E0205,Morning,4,Customer Service,4814.53,Present
2022-01-11,S010,E0222,Afternoon,6,Customer Service,3977.11,Present
2022-01-11,S010,E0072,Night,9,Stock Clerk,2130.26,Present
2022-01-11,S010,E0067,Night,6,Stock Clerk,4416.16,Present
2022-01-11,S006,E0071,Afternoon,6,Stock Clerk,1636.89,Present
2022-01-11,S006,E0119,Morning,9,Manager,1914.58,Present
2022-01-11,S006,E0184,Afternoon,8,Cashier,1178.35,Absent
2022-01-11,S006,E0185,Afternoon,8,Stock Clerk,1672.07,Sick leave
2022-01-11,S006,E0142,Morning,8,Customer Service,4555.27,Present
2022-01-12,S003,E0178,Night,7,Cashier,3177.88,Present
2022-01-12,S003,E0092,Night,5,Stock Clerk,2193.77,Present
2022-01-12,S003,E0025,Night,8,Stock Clerk,4943.4,Present
2022-01-12,S003,E0248,Afternoon,4,Manager,921.01,Present
2022-01-12,S003,E0214,Morning,9,Customer Service,3786.13,Present
2022-01-12,S007,E0181,Night,5,Cashier,654.47,Present
2022-01-12,S007,E0146,Morning,5,Manager,1787.54,Present
2022-01-12,S007,E0191,Afternoon,8,Manager,4181.09,Present
2022-01-12,S007,E0190,Morning,4,Customer Service,3269.44,Present
2022-01-12,S007,E0230,Morning,4,Cashier,2437.17,Present
2022-01-12,S010,E0227,Morning,9,Manager,713.85,Present
2022-01-12,S010,E0190,Morning,7,Manager,3716.16,Present
2022-01-12,S010,E0072,Night,7,Customer Service,1118.16,Present
2022-01-12,S010,E0253,Night,7,Manager,2964.62,Present
2022-01-12,S010,E0276,Morning,7,Cashier,2117.97,Present
2022-01-12,S004,E0159,Afternoon,7,Manager,1972.3,Present
2022-01-12,S004,E0062,Afternoon,9,Manager,4411.36,Present
2022-01-12,S004,E0169,Night,9,Manager,626.27,Present
2022-01-12,S004,E0264,Afternoon,7,Manager,2263.26,Present
2022-01-12,S004,E0108,Night,5,Stock Clerk,778.45,Present
2022-01-12,S009,E0196,Morning,9,Stock Clerk,819.07,Present
2022-01-12,S009,E0112,Afternoon,8,Manager,2668.85,Present
2022-01-12,S009,E0228,Night,6,Stock Clerk,1131.02,Absent
2022-01-12,S009,E0107,Morning,5,Manager,1273.85,Present
2022-01-12,S009,E0081,Afternoon,5,Manager,2989.81,Present
2022-01-13,S001,E0007,Night,9,Customer Service,3725.58,Present
2022-01-13,S001,E0128,Morning,4,Manager,1351.74,Absent
2022-01-13,S001,E0187,Morning,5,Customer Service,708.66,Present
2022-01-13,S001,E0295,Afternoon,8,Customer Service,1382.25,Present
2022-01-13,S001,E0046,Afternoon,5,Customer Service,2760.35,Present
2022-01-13,S008,E0090,Morning,8,Manager,670.15,Present
2022-01-13,S008,E0027,Afternoon,4,Cashier,3322.37,Absent
2022-01-13,S008,E0200,Night,6,Stock Clerk,1771.95,Sick leave
2022-01-13,S008,E0238,Night,9,Customer Service,1192.05,Present
2022-01-13,S008,E0264,Morning,9,Cashier,3172.52,Present
2022-01-13,S006,E0011,Night,5,Cashier,4979.92,Present
2022-01-13,S006,E0109,Morning,8,Manager,1259.92,Present
2022-01-13,S006,E0116,Night,8,Manager,1276.42,Absent
2022-01-13,S006,E0152,Morning,6,Manager,2939.6,Present
2022-01-13,S006,E0239,Morning,9,Cashier,2040.94,Present
2022-01-13,S007,E0014,Night,8,Manager,3583.22,Present
2022-01-13,S007,E0193,Afternoon,4,Manager,1458.07,Present
2022-01-13,S007,E0044,Morning,7,Cashier,2075.75,Absent
2022-01-13,S007,E0188,Afternoon,4,Stock Clerk,3401.7,Absent
2022-01-13,S007,E0296,Morning,9,Manager,4676.45,Absent
2022-01-13,S009,E0189,Night,4,Manager,1208.47,Sick leave
2022-01-13,S009,E0217,Morning,4,Stock Clerk,2135.1,Present
2022-01-13,S009,E0267,Morning,5,Cashier,4566.05,Present
2022-01-13,S009,E0192,Afternoon,8,Cashier,3415.07,Present
2022-01-13,S009,E0082,Night,6,Stock Clerk,3205.22,Present
2022-01-14,S010,E0161,Morning,8,Manager,3700.49,Sick leave
2022-01-14,S010,E0181,Afternoon,8,Customer Service,772.87,Present
2022-01-14,S010,E0137,Afternoon,7,Stock Clerk,2423.51,Present
2022-01-14,S010,E0253,Afternoon,6,Customer Service,996.26,Present
2022-01-14,S010,E0282,Night,6,Cashier,3371.53,Present
2022-01-14,S006,E0066,Afternoon,4,Stock Clerk,4106.69,Present
2022-01-14,S006,E0040,Afternoon,6,Stock Clerk,4292.24,Present
2022-01-14,S006,E0298,Afternoon,9,Stock Clerk,2198.21,Present
2022-01-14,S006,E0265,Night,5,Manager,4682.81,Present
2022-01-14,S006,E0252,Morning,7,Cashier,1798.42,Present
2022-01-14,S001,E0282,Afternoon,8,Cashier,1758.94,Present
2022-01-14,S001,E0077,Afternoon,7,Manager,1618.17,Absent
2022-01-14,S001,E0241,Night,7,Stock Clerk,4566.0,Present
2022-01-14,S001,E0292,Morning,6,Stock Clerk,2546.87,Present
2022-01-14,S001,E0255,Afternoon,9,Cashier,3087.78,Present
2022-01-14,S009,E0146,Afternoon,7,Manager,4258.88,Present
2022-01-14,S009,E0128,Night,8,Manager,4945.97,Present
2022-01-14,S009,E0151,Afternoon,7,Manager,1404.31,Present
2022-01-14,S009,E0263,Afternoon,8,Customer Service,1297.46,Present
2022-01-14,S009,E0251,Morning,7,Manager,1255.31,Present
2022-01-14,S008,E0066,Morning,6,Customer Service,1981.5,Present
2022-01-14,S008,E0237,Afternoon,9,Cashier,2708.32,Present
2022-01-14,S008,E0072,Morning,9,Customer Service,1818.07,Present
2022-01-14,S008,E0030,Morning,5,Stock Clerk,4733.55,Present
2022-01-14,S008,E0128,Afternoon,8,Stock Clerk,508.03,Present
2022-01-15,S006,E0018,Morning,5,Cashier,3411.09,Present
2022-01-15,S006,E0259,Night,6,Manager,617.67,Present
2022-01-15,S006,E0180,Morning,9,Manager,3740.32,Present
2022-01-15,S006,E0242,Afternoon,7,Cashier,3030.88,Present
2022-01-15,S006,E0289,Night,9,Cashier,4189.3,Present
2022-01-15,S002,E0154,Afternoon,6,Stock Clerk,4685.22,Present
2022-01-15,S002,E0237,Morning,9,Customer Service,1361.41,Absent
2022-01-15,S002,E0028,Afternoon,5,Customer Service,524.19,Present
2022-01-15,S002,E0026,Night,4,Manager,3252.0,Present
2022-01-15,S002,E0192,Night,4,Customer Service,4901.21,Present
2022-01-15,S005,E0120,Night,9,Manager,3170.9,Absent
2022-01-15,S005,E0261,Afternoon,6,Customer Service,2112.9,Present
2022-01-15,S005,E0090,Afternoon,7,Customer Service,4120.55,Absent
2022-01-15,S005,E0250,Morning,8,Customer Service,4901.92,Present
2022-01-15,S005,E0213,Afternoon,8,Stock Clerk,3383.62,Present
2022-01-15,S007,E0059,Morning,7,Stock Clerk,2889.58,Absent
2022-01-15,S007,E0075,Night,9,Stock Clerk,804.99,Present
2022-01-15,S007,E0107,Morning,6,Customer Service,1539.11,Present
2022-01-15,S007,E0285,Afternoon,7,Cashier,3333.83,Present
2022-01-15,S007,E0257,Morning,9,Manager,3369.6,Present
2022-01-15,S008,E0286,Morning,5,Manager,2172.05,Present
2022-01-15,S008,E0084,Afternoon,9,Manager,4880.3,Present
2022-01-15,S008,E0262,Morning,6,Manager,4772.69,Present
2022-01-15,S008,E0079,Night,4,Manager,1756.1,Present
2022-01-15,S008,E0234,Morning,8,Stock Clerk,4205.49,Present
2022-01-16,S002,E0141,Night,6,Cashier,3330.57,Present
2022-01-16,S002,E0109,Night,9,Manager,3708.06,Present
2022-01-16,S002,E0230,Afternoon,7,Manager,4922.09,Sick leave
2022-01-16,S002,E0298,Night,5,Customer Service,3909.61,Present
2022-01-16,S002,E0210,Afternoon,9,Customer Service,2667.68,Present
2022-01-16,S005,E0040,Morning,4,Manager,1977.98,Present
2022-01-16,S005,E0002,Night,5,Cashier,1219.39,Present
2022-01-16,S005,E0128,Night,4,Customer Service,4013.2,Present
2022-01-16,S005,E0100,Morning,9,Stock Clerk,4857.2,Present
2022-01-16,S005,E0146,Afternoon,8,Customer Service,3532.76,Present
2022-01-16,S010,E0197,Night,5,Manager,815.98,Present
2022-01-16,S010,E0216,Night,9,Customer Service,1722.91,Present
2022-01-16,S010,E0065,Night,8,Customer Service,1875.87,Present
2022-01-16,S010,E0243,Afternoon,9,Manager,1852.16,Present
2022-01-16,S010,E0005,Afternoon,7,Manager,3097.85,Present
2022-01-16,S006,E0186,Night,9,Cashier,1463.21,Present
2022-01-16,S006,E0176,Afternoon,4,Cashier,3379.93,Present
2022-01-16,S006,E0009,Night,8,Cashier,4732.26,Present
2022-01-16,S006,E0087,Afternoon,7,Customer Service,2138.05,Present
2022-01-16,S006,E0272,Afternoon,4,Stock Clerk,2023.84,Present
2022-01-16,S008,E0007,Night,5,Customer Service,704.66,Present
2022-01-16,S008,E0224,Morning,5,Customer Service,1366.98,Present
2022-01-16,S008,E0194,Morning,5,Cashier,2789.11,Absent
2022-01-16,S008,E0093,Night,8,Customer Service,2890.26,Sick leave
2022-01-16,S008,E0269,Morning,4,Manager,2956.26,Present
2022-01-17,S006,E0230,Afternoon,4,Stock Clerk,2495.36,Present
2022-01-17,S006,E0243,Night,9,Customer Service,3183.39,Present
2022-01-17,S006,E0034,Afternoon,6,Cashier,4144.49,Present
2022-01-17,S006,E0023,Night,7,Stock Clerk,642.4,Sick leave
